"BehaviorSpace results (NetLogo 6.1.1)"
"National_Park.nlogo"
"all_high_closed"
"10/27/2020 20:33:05:933 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","mean-willingness-to-consume","hourly-wages","strategy","ticket-price","mean-moral","tourist-wave","number-of-cleaners","mean-tolerance","[step]","revenue","cumulative-come-tourists / (cumulative-considered-tourists + 1)"
"2","0.6","60","close-clean","60","0.9","100","2","0.1","396","42819.6000000001","0.4594728990551964"
"1","0.6","60","close-clean","60","0.9","100","2","0.1","396","38850.60000000008","0.46078933880061507"
"3","0.6","60","close-clean","60","0.9","100","2","0.1","396","42685.20000000009","0.43693479295573534"
"6","0.6","60","close-clean","60","0.9","100","4","0.1","403","44234.39999999967","0.4428511176718684"
"5","0.6","60","close-clean","60","0.9","100","4","0.1","403","50117.39999999965","0.4652228238234069"
"8","0.6","60","close-clean","60","0.9","100","6","0.1","403","48442.200000000375","0.43510267338240993"
"4","0.6","60","close-clean","60","0.9","100","4","0.1","403","45022.19999999967","0.4407423028258119"
"7","0.6","60","close-clean","60","0.9","100","6","0.1","403","51029.40000000037","0.45641224331654395"
"9","0.6","60","close-clean","60","0.9","100","6","0.1","403","49777.20000000039","0.44130182099961257"
"11","0.6","60","close-clean","60","0.9","100","8","0.1","403","52541.99999999967","0.45778114350624766"
"12","0.6","60","close-clean","60","0.9","100","8","0.1","403","51956.99999999967","0.46118894358197654"
"10","0.6","60","close-clean","60","0.9","100","8","0.1","403","54637.19999999965","0.45151628603519284"
"13","0.6","60","close-clean","60","0.9","100","10","0.1","403","52866","0.4393335747917421"
"14","0.6","60","close-clean","60","0.9","100","10","0.1","403","56829","0.4538210793190873"
"15","0.6","60","close-clean","60","0.9","100","10","0.1","403","55242","0.4595386305382644"
"16","0.6","60","close-clean","60","0.9","100","12","0.1","403","55965.6000000004","0.4485847366535292"
"19","0.6","60","close-clean","60","0.9","100","14","0.1","403","52346.3999999996","0.42998936547323646"
"18","0.6","60","close-clean","60","0.9","100","12","0.1","403","55260.00000000038","0.45467574346112505"
"17","0.6","60","close-clean","60","0.9","100","12","0.1","403","55965.00000000038","0.4521676818344679"
"20","0.6","60","close-clean","60","0.9","100","14","0.1","403","55558.19999999958","0.45480326125487414"
"22","0.6","60","close-clean","60","0.9","100","16","0.1","403","55327.80000000043","0.4521220624342336"
"21","0.6","60","close-clean","60","0.9","100","14","0.1","403","50794.79999999958","0.434597660404112"
"24","0.6","60","close-clean","60","0.9","100","16","0.1","403","54417.00000000042","0.45480326125487414"
"23","0.6","60","close-clean","60","0.9","100","16","0.1","403","54377.40000000039","0.4498404820985466"
"26","0.6","60","close-clean","60","0.9","100","18","0.1","403","54607.799999999625","0.44475622588565417"
"25","0.6","60","close-clean","60","0.9","100","18","0.1","403","53347.799999999654","0.445586671393123"
"27","0.6","60","close-clean","60","0.9","100","18","0.1","403","51641.99999999965","0.4258937868795557"
"28","0.6","60","close-clean","60","0.9","100","20","0.1","403","53343","0.4425546685178757"
"30","0.6","60","close-clean","60","0.9","100","20","0.1","403","56823","0.45574453314821245"
"29","0.6","60","close-clean","60","0.9","100","20","0.1","396","45951","0.4462956398440269"
