"BehaviorSpace results (NetLogo 6.1.1)"
"National_Park.nlogo"
"all_high_open"
"10/27/2020 00:27:31:436 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","mean-willingness-to-consume","hourly-wages","strategy","ticket-price","mean-moral","tourist-wave","number-of-cleaners","mean-tolerance","[step]","revenue","cumulative-come-tourists / (cumulative-considered-tourists + 1)"
"3","0.6","60","open-clean","60","0.9","100","1","0.1","403","51960","0.4065311562812396"
"1","0.6","60","open-clean","60","0.9","100","1","0.1","403","51420","0.4018660446517827"
"2","0.6","60","open-clean","60","0.9","100","1","0.1","403","53820","0.4185271576141286"
"6","0.6","60","open-clean","60","0.9","100","2","0.1","403","33480","0.4335221592802399"
"4","0.6","60","open-clean","60","0.9","100","2","0.1","403","33510","0.44118627124291904"
"5","0.6","60","open-clean","60","0.9","100","2","0.1","403","36990","0.4571809396867711"
"8","0.6","60","open-clean","60","0.9","100","3","0.1","403","13335","0.4608463845384872"
"7","0.6","60","open-clean","60","0.9","100","3","0.1","403","12285","0.4525158280573142"
"9","0.6","60","open-clean","60","0.9","100","3","0.1","403","15495","0.4678440519826724"
"10","0.6","60","open-clean","60","0.9","100","4","0.1","403","-5505","0.4841719426857714"
"12","0.6","60","open-clean","60","0.9","100","4","0.1","403","-8130","0.4758413862045985"
"11","0.6","60","open-clean","60","0.9","100","4","0.1","403","-8025","0.4685104965011663"
"13","0.6","60","open-clean","60","0.9","100","5","0.1","403","-33060","0.46951016327890704"
"14","0.6","60","open-clean","60","0.9","100","5","0.1","403","-31665","0.48350549816727756"
"15","0.6","60","open-clean","60","0.9","100","5","0.1","403","-30570","0.47917360879706766"
