"BehaviorSpace results (NetLogo 6.1.1)"
"National_Park.nlogo"
"all_lower_closed"
"10/27/2020 20:29:58:220 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","mean-willingness-to-consume","hourly-wages","strategy","ticket-price","mean-moral","tourist-wave","number-of-cleaners","mean-tolerance","[step]","revenue","cumulative-come-tourists / (cumulative-considered-tourists + 1)"
"1","0.2","20","close-clean","20","0.7","100","2","0.2","396","12458.40000000006","0.47731188971855254"
"3","0.2","20","close-clean","20","0.7","100","2","0.2","396","12406.200000000055","0.48839976204640095"
"2","0.2","20","close-clean","20","0.7","100","2","0.2","396","12740.00000000006","0.4955383700178465"
"6","0.2","20","close-clean","20","0.7","100","4","0.2","403","6517.20000000002","0.4743083003952569"
"5","0.2","20","close-clean","20","0.7","100","4","0.2","403","8014.000000000045","0.482796286182414"
"4","0.2","20","close-clean","20","0.7","100","4","0.2","403","7884.200000000019","0.48092423428264375"
"8","0.2","20","close-clean","20","0.7","100","6","0.2","403","11403.799999999917","0.4570013507429086"
"9","0.2","20","close-clean","20","0.7","100","6","0.2","403","13272.59999999993","0.4795137325529041"
"7","0.2","20","close-clean","20","0.7","100","6","0.2","403","12923.799999999916","0.48911594846734785"
"12","0.2","20","close-clean","20","0.7","100","8","0.2","403","12861.399999999907","0.46397334443981675"
"10","0.2","20","close-clean","20","0.7","100","8","0.2","403","15258.39999999991","0.49062890462307374"
"11","0.2","20","close-clean","20","0.7","100","8","0.2","403","13246.599999999904","0.4735526863806747"
"13","0.2","20","close-clean","20","0.7","100","10","0.2","402","15392","0.47441491471638236"
"14","0.2","20","close-clean","20","0.7","100","10","0.2","403","15028","0.4831416104720349"
"15","0.2","20","close-clean","20","0.7","100","10","0.2","403","15016","0.46452371618972954"
"16","0.2","20","close-clean","20","0.7","100","12","0.2","399","14829.400000000098","0.48663308795040683"
"17","0.2","20","close-clean","20","0.7","100","12","0.2","399","15151.800000000101","0.48004649360712903"
"19","0.2","20","close-clean","20","0.7","100","14","0.2","399","16078.40000000011","0.4890846418996553"
"18","0.2","20","close-clean","20","0.7","100","12","0.2","399","15699.400000000078","0.48314606741573035"
"20","0.2","20","close-clean","20","0.7","100","14","0.2","403","14864.400000000107","0.48201438848920863"
"21","0.2","20","close-clean","20","0.7","100","14","0.2","396","13966.800000000087","0.4827586206896552"
"23","0.2","20","close-clean","20","0.7","100","16","0.2","403","15811.599999999871","0.4731580895964458"
"22","0.2","20","close-clean","20","0.7","100","16","0.2","396","12084.199999999895","0.48487169666794333"
"24","0.2","20","close-clean","20","0.7","100","16","0.2","396","10118.399999999892","0.4896119168953352"
"25","0.2","20","close-clean","20","0.7","100","18","0.2","396","13906.999999999894","0.4732309996256084"
"26","0.2","20","close-clean","20","0.7","100","18","0.2","396","14568.399999999892","0.48201438848920863"
"28","0.2","20","close-clean","20","0.7","100","20","0.2","399","15153","0.4738191138777005"
"27","0.2","20","close-clean","20","0.7","100","18","0.2","396","9625.199999999897","0.48624564122433167"
"29","0.2","20","close-clean","20","0.7","100","20","0.2","403","10526","0.5035971223021583"
"30","0.2","20","close-clean","20","0.7","100","20","0.2","403","8505","0.4806587514362313"
