"BehaviorSpace results (NetLogo 6.1.1)"
"National_Park.nlogo"
"all_lower_mixed"
"10/27/2020 00:14:13:322 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","mean-willingness-to-consume","hourly-wages","strategy","ticket-price","mean-moral","tourist-wave","number-of-cleaners","mean-tolerance","[step]","revenue","cumulative-come-tourists / (cumulative-considered-tourists + 1)"
"2","0.2","20","mixed-clean","20","0.7","100","1","0.2","396","6050","0.4768480909829407"
"3","0.2","20","mixed-clean","20","0.7","100","1","0.2","396","6590","0.4610143830431491"
"1","0.2","20","mixed-clean","20","0.7","100","1","0.2","396","7125","0.46707040121120363"
"5","0.2","20","mixed-clean","20","0.7","100","2","0.2","396","8820","0.47534429142603285"
"6","0.2","20","mixed-clean","20","0.7","100","2","0.2","403","16110","0.4501832722425858"
"4","0.2","20","mixed-clean","20","0.7","100","2","0.2","403","17505","0.46217927357547484"
"9","0.2","20","mixed-clean","20","0.7","100","3","0.2","403","9755","0.47350883038987"
"8","0.2","20","mixed-clean","20","0.7","100","3","0.2","403","9850","0.47384205264911694"
"7","0.2","20","mixed-clean","20","0.7","100","3","0.2","403","11690","0.49783405531489505"
"10","0.2","20","mixed-clean","20","0.7","100","4","0.2","403","2455","0.48483838720426525"
"11","0.2","20","mixed-clean","20","0.7","100","4","0.2","403","3530","0.5048317227590803"
"12","0.2","20","mixed-clean","20","0.7","100","4","0.2","403","3220","0.493835388203932"
"13","0.2","20","mixed-clean","20","0.7","100","5","0.2","403","-1540","0.5208263912029324"
"15","0.2","20","mixed-clean","20","0.7","100","5","0.2","403","-4695","0.4895034988337221"
"14","0.2","20","mixed-clean","20","0.7","100","5","0.2","403","-2615","0.5074975008330557"
