"BehaviorSpace results (NetLogo 6.1.1)"
"National_Park.nlogo"
"all_lower_open"
"10/27/2020 00:11:52:088 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","mean-willingness-to-consume","hourly-wages","strategy","ticket-price","mean-moral","tourist-wave","number-of-cleaners","mean-tolerance","[step]","revenue","cumulative-come-tourists / (cumulative-considered-tourists + 1)"
"1","0.2","20","open-clean","20","0.7","100","1","0.2","403","17585","0.35554815061646117"
"3","0.2","20","open-clean","20","0.7","100","1","0.2","402","17735","0.3585471509496834"
"2","0.2","20","open-clean","20","0.7","100","1","0.2","403","18090","0.3768743752082639"
"4","0.2","20","open-clean","20","0.7","100","2","0.2","403","16140","0.4498500499833389"
"5","0.2","20","open-clean","20","0.7","100","2","0.2","403","17900","0.4591802732422526"
"6","0.2","20","open-clean","20","0.7","100","2","0.2","403","16485","0.45518160613128955"
"9","0.2","20","open-clean","20","0.7","100","3","0.2","403","11885","0.5031656114628457"
"7","0.2","20","open-clean","20","0.7","100","3","0.2","403","11195","0.5091636121292903"
"8","0.2","20","open-clean","20","0.7","100","3","0.2","403","10505","0.4935021659446851"
"11","0.2","20","open-clean","20","0.7","100","4","0.2","403","5465","0.505831389536821"
"10","0.2","20","open-clean","20","0.7","100","4","0.2","403","2595","0.48717094301899366"
"12","0.2","20","open-clean","20","0.7","100","4","0.2","403","4780","0.509830056647784"
"15","0.2","20","open-clean","20","0.7","100","5","0.2","403","-4225","0.5148283905364879"
"14","0.2","20","open-clean","20","0.7","100","5","0.2","403","-5505","0.5034988337220926"
"13","0.2","20","open-clean","20","0.7","100","5","0.2","403","-2515","0.5024991669443519"
