"BehaviorSpace results (NetLogo 6.1.1)"
"National_Park.nlogo"
"all_med_closed"
"10/27/2020 20:34:32:514 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","mean-willingness-to-consume","hourly-wages","strategy","ticket-price","mean-moral","tourist-wave","number-of-cleaners","mean-tolerance","[step]","revenue","cumulative-come-tourists / (cumulative-considered-tourists + 1)"
"3","0.4","40","close-clean","40","0.8","100","2","0.15","396","22746.000000000124","0.4744399770246984"
"1","0.4","40","close-clean","40","0.8","100","2","0.15","396","29441.200000000146","0.4603735487127713"
"2","0.4","40","close-clean","40","0.8","100","2","0.15","396","20966.40000000012","0.4879703886489821"
"5","0.4","40","close-clean","40","0.8","100","4","0.15","403","18878.400000000118","0.445859872611465"
"6","0.4","40","close-clean","40","0.8","100","4","0.15","403","21040.00000000013","0.47182753552180307"
"4","0.4","40","close-clean","40","0.8","100","4","0.15","403","22805.200000000143","0.47513278609367454"
"8","0.4","40","close-clean","40","0.8","100","6","0.15","403","29614.799999999814","0.46938775510204084"
"11","0.4","40","close-clean","40","0.8","100","8","0.15","403","29308.399999999798","0.47758825862752874"
"7","0.4","40","close-clean","40","0.8","100","6","0.15","403","32137.19999999981","0.48771345272802996"
"9","0.4","40","close-clean","40","0.8","100","6","0.15","403","26589.59999999981","0.46267397722479964"
"10","0.4","40","close-clean","40","0.8","100","8","0.15","403","28091.99999999981","0.449821499404998"
"12","0.4","40","close-clean","40","0.8","100","8","0.15","403","32718.799999999796","0.48115827052756843"
"14","0.4","40","close-clean","40","0.8","100","10","0.15","403","32586","0.4810417464572961"
"13","0.4","40","close-clean","40","0.8","100","10","0.15","403","34614","0.4759560772434684"
"15","0.4","40","close-clean","40","0.8","100","10","0.15","403","31906","0.47070088088854845"
"16","0.4","40","close-clean","40","0.8","100","12","0.15","403","31777.200000000208","0.4623736428304006"
"17","0.4","40","close-clean","40","0.8","100","12","0.15","403","32497.20000000022","0.469112691875702"
"18","0.4","40","close-clean","40","0.8","100","12","0.15","403","34387.20000000017","0.4698259903739356"
"20","0.4","40","close-clean","40","0.8","100","14","0.15","399","29495.200000000215","0.46349681767128414"
"21","0.4","40","close-clean","40","0.8","100","14","0.15","403","33203.60000000024","0.46019992595335063"
"19","0.4","40","close-clean","40","0.8","100","14","0.15","403","23140.00000000019","0.484695854320031"
"23","0.4","40","close-clean","40","0.8","100","16","0.15","403","34929.199999999706","0.465773270554147"
"24","0.4","40","close-clean","40","0.8","100","16","0.15","403","31905.59999999978","0.4668619553277188"
"22","0.4","40","close-clean","40","0.8","100","16","0.15","396","24664.399999999827","0.45862972669412205"
"29","0.4","40","close-clean","40","0.8","100","20","0.15","403","35056","0.48262271587244715"
"25","0.4","40","close-clean","40","0.8","100","18","0.15","396","24239.599999999788","0.4713590415574691"
"27","0.4","40","close-clean","40","0.8","100","18","0.15","403","23379.19999999978","0.472047389855609"
"30","0.4","40","close-clean","40","0.8","100","20","0.15","403","32826","0.45861698316015764"
"28","0.4","40","close-clean","40","0.8","100","20","0.15","399","28204","0.4727206151592823"
"26","0.4","40","close-clean","40","0.8","100","18","0.15","403","24420.799999999785","0.49120179707974543"
