"BehaviorSpace results (NetLogo 6.1.1)"
"National_Park.nlogo"
"all_med_mix"
"10/27/2020 00:45:25:143 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","mean-willingness-to-consume","hourly-wages","strategy","ticket-price","mean-moral","tourist-wave","number-of-cleaners","mean-tolerance","[step]","revenue","cumulative-come-tourists / (cumulative-considered-tourists + 1)"
"1","0.4","40","mixed-clean","40","0.8","100","1","0.15","396","12440","0.4685418208734271"
"3","0.4","40","mixed-clean","40","0.8","100","1","0.15","396","14060","0.44154147615937295"
"2","0.4","40","mixed-clean","40","0.8","100","1","0.15","396","13440","0.47342310418143163"
"4","0.4","40","mixed-clean","40","0.8","100","2","0.15","403","27370","0.453515494835055"
"5","0.4","40","mixed-clean","40","0.8","100","2","0.15","403","30770","0.47184271909363545"
"6","0.4","40","mixed-clean","40","0.8","100","2","0.15","403","29290","0.4678440519826724"
"7","0.4","40","mixed-clean","40","0.8","100","3","0.15","403","16240","0.4808397200933022"
"9","0.4","40","mixed-clean","40","0.8","100","3","0.15","403","16870","0.48317227590803064"
"8","0.4","40","mixed-clean","40","0.8","100","3","0.15","403","13830","0.4728423858713762"
"10","0.4","40","mixed-clean","40","0.8","100","4","0.15","403","600","0.48850383205598136"
"11","0.4","40","mixed-clean","40","0.8","100","4","0.15","403","-30","0.49283572142619125"
"12","0.4","40","mixed-clean","40","0.8","100","4","0.15","403","-20","0.485838053982006"
"13","0.4","40","mixed-clean","40","0.8","100","5","0.15","403","-18670","0.4771742752415861"
"15","0.4","40","mixed-clean","40","0.8","100","5","0.15","403","-14940","0.49783405531489505"
"14","0.4","40","mixed-clean","40","0.8","100","5","0.15","403","-16440","0.49616794401866043"
