"BehaviorSpace results (NetLogo 6.1.1)"
"National_Park.nlogo"
"all_med_open"
"10/27/2020 00:44:02:926 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","mean-willingness-to-consume","hourly-wages","strategy","ticket-price","mean-moral","tourist-wave","number-of-cleaners","mean-tolerance","[step]","revenue","cumulative-come-tourists / (cumulative-considered-tourists + 1)"
"3","0.4","40","open-clean","40","0.8","100","1","0.15","403","34620","0.3822059313562146"
"1","0.4","40","open-clean","40","0.8","100","1","0.15","403","36330","0.3952015994668444"
"2","0.4","40","open-clean","40","0.8","100","1","0.15","403","35450","0.39786737754081974"
"4","0.4","40","open-clean","40","0.8","100","2","0.15","403","29290","0.46617794068643786"
"6","0.4","40","open-clean","40","0.8","100","2","0.15","403","28820","0.46017994001999335"
"5","0.4","40","open-clean","40","0.8","100","2","0.15","403","28530","0.4548483838720426"
"9","0.4","40","open-clean","40","0.8","100","3","0.15","403","16350","0.4805064978340553"
"7","0.4","40","open-clean","40","0.8","100","3","0.15","403","13920","0.47650783072309233"
"8","0.4","40","open-clean","40","0.8","100","3","0.15","403","15890","0.48917027657447515"
"11","0.4","40","open-clean","40","0.8","100","4","0.15","403","170","0.4895034988337221"
"10","0.4","40","open-clean","40","0.8","100","4","0.15","403","-2920","0.4758413862045985"
"12","0.4","40","open-clean","40","0.8","100","4","0.15","403","2040","0.4971676107964012"
"13","0.4","40","open-clean","40","0.8","100","5","0.15","403","-15260","0.4935021659446851"
"15","0.4","40","open-clean","40","0.8","100","5","0.15","403","-17200","0.4815061646117961"
"14","0.4","40","open-clean","40","0.8","100","5","0.15","403","-14680","0.5008330556481173"
