"BehaviorSpace results (NetLogo 6.1.1)"
"National_Park.nlogo"
"high_to_med_closed"
"10/27/2020 20:35:54:616 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","mean-willingness-to-consume","hourly-wages","strategy","ticket-price","mean-moral","tourist-wave","number-of-cleaners","mean-tolerance","[step]","revenue","cumulative-come-tourists / (cumulative-considered-tourists + 1)"
"1","0.6","20","close-clean","40","0.9","100","2","0.15","396","68395.99999999985","0.9201759899434317"
"2","0.6","20","close-clean","40","0.9","100","2","0.15","396","71882.39999999994","0.9182313749242883"
"3","0.6","20","close-clean","40","0.9","100","2","0.15","396","82217.6000000001","0.9130661114003124"
"4","0.6","20","close-clean","40","0.9","100","4","0.15","403","86709.1999999995","0.9348358647721705"
"6","0.6","20","close-clean","40","0.9","100","4","0.15","403","83143.19999999953","0.9086320040383644"
"5","0.6","20","close-clean","40","0.9","100","4","0.15","403","85927.5999999995","0.924546790788829"
"7","0.6","20","close-clean","40","0.9","100","6","0.15","403","97092.0000000006","0.9184109354976506"
"9","0.6","20","close-clean","40","0.9","100","6","0.15","403","100200.80000000061","0.916702263989748"
"8","0.6","20","close-clean","40","0.9","100","6","0.15","403","99778.40000000062","0.9192652712516018"
"10","0.6","20","close-clean","40","0.9","100","8","0.15","403","107192.7999999994","0.9159063863546212"
"12","0.6","20","close-clean","40","0.9","100","8","0.15","403","107098.79999999938","0.914319714399048"
"11","0.6","20","close-clean","40","0.9","100","8","0.15","403","108577.59999999937","0.9135263784212614"
"13","0.6","20","close-clean","40","0.9","100","10","0.15","403","110058","0.9096131750287246"
"14","0.6","20","close-clean","40","0.9","100","10","0.15","399","107484","0.9039132119333592"
"15","0.6","20","close-clean","40","0.9","100","10","0.15","403","109862","0.9120495931809376"
"17","0.6","20","close-clean","40","0.9","100","12","0.15","396","104913.60000000062","0.9079730265767553"
"16","0.6","20","close-clean","40","0.9","100","12","0.15","403","102778.8000000006","0.9281413087113609"
"19","0.6","20","close-clean","40","0.9","100","14","0.15","396","107638.3999999993","0.9207200306396017"
"22","0.6","20","close-clean","40","0.9","100","16","0.15","396","113910.40000000072","0.9183826282291276"
"21","0.6","20","close-clean","40","0.9","100","14","0.15","403","103228.39999999931","0.9227753822030577"
"18","0.6","20","close-clean","40","0.9","100","12","0.15","403","100506.00000000051","0.9164993978321959"
"20","0.6","20","close-clean","40","0.9","100","14","0.15","403","106942.79999999929","0.9165070854078897"
"23","0.6","20","close-clean","40","0.9","100","16","0.15","396","112157.60000000072","0.9033691225472047"
"24","0.6","20","close-clean","40","0.9","100","16","0.15","403","107517.20000000072","0.9257856872396819"
"25","0.6","20","close-clean","40","0.9","100","18","0.15","403","111287.59999999928","0.9207700851536468"
"27","0.6","20","close-clean","40","0.9","100","18","0.15","403","104621.19999999934","0.9174555092767891"
"26","0.6","20","close-clean","40","0.9","100","18","0.15","403","105513.9999999993","0.914426353653919"
"29","0.6","20","close-clean","40","0.9","100","20","0.15","403","108484","0.9195058030700113"
"28","0.6","20","close-clean","40","0.9","100","20","0.15","403","105842","0.9138899288655934"
"30","0.6","20","close-clean","40","0.9","100","20","0.15","403","109098","0.9025997803002563"
