"BehaviorSpace results (NetLogo 6.1.1)"
"National_Park.nlogo"
"high_to_med_mix"
"10/27/2020 00:58:23:140 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","mean-willingness-to-consume","hourly-wages","strategy","ticket-price","mean-moral","tourist-wave","number-of-cleaners","mean-tolerance","[step]","revenue","cumulative-come-tourists / (cumulative-considered-tourists + 1)"
"3","0.6","20","mixed-clean","40","0.9","100","1","0.15","396","44840","0.9044697633654689"
"1","0.6","20","mixed-clean","40","0.9","100","1","0.15","396","52980","0.8879636638909917"
"2","0.6","20","mixed-clean","40","0.9","100","1","0.15","396","48140","0.8897700237906423"
"5","0.6","20","mixed-clean","40","0.9","100","2","0.15","403","85210","0.9271775345073774"
"4","0.6","20","mixed-clean","40","0.9","100","2","0.15","403","116420","0.8603798733755414"
"6","0.6","20","mixed-clean","40","0.9","100","2","0.15","403","120300","0.8810396534488504"
"7","0.6","20","mixed-clean","40","0.9","100","3","0.15","403","122990","0.9436854381872709"
"8","0.6","20","mixed-clean","40","0.9","100","3","0.15","403","120360","0.9280239920026658"
"9","0.6","20","mixed-clean","40","0.9","100","3","0.15","403","122610","0.9413528823725424"
"10","0.6","20","mixed-clean","40","0.9","100","4","0.15","403","112900","0.9540153282239253"
"12","0.6","20","mixed-clean","40","0.9","100","4","0.15","403","118050","0.9623458847050983"
"11","0.6","20","mixed-clean","40","0.9","100","4","0.15","403","113910","0.9486837720759747"
"13","0.6","20","mixed-clean","40","0.9","100","5","0.15","403","107400","0.9613462179273575"
"14","0.6","20","mixed-clean","40","0.9","100","5","0.15","403","110670","0.9656781072975674"
"15","0.6","20","mixed-clean","40","0.9","100","5","0.15","403","109570","0.9656781072975674"
