"BehaviorSpace results (NetLogo 6.1.1)"
"National_Park.nlogo"
"high_to_med_open"
"10/27/2020 00:59:45:754 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","mean-willingness-to-consume","hourly-wages","strategy","ticket-price","mean-moral","tourist-wave","number-of-cleaners","mean-tolerance","[step]","revenue","cumulative-come-tourists / (cumulative-considered-tourists + 1)"
"3","0.6","20","open-clean","40","0.9","100","1","0.15","403","102750","0.7170943018993668"
"1","0.6","20","open-clean","40","0.9","100","1","0.15","403","102890","0.7307564145284905"
"2","0.6","20","open-clean","40","0.9","100","1","0.15","403","102440","0.7307564145284905"
"5","0.6","20","open-clean","40","0.9","100","2","0.15","403","118310","0.8673775408197267"
"4","0.6","20","open-clean","40","0.9","100","2","0.15","403","118590","0.8680439853382206"
"6","0.6","20","open-clean","40","0.9","100","2","0.15","403","120430","0.886704431856048"
"7","0.6","20","open-clean","40","0.9","100","3","0.15","403","123250","0.951682772409197"
"8","0.6","20","open-clean","40","0.9","100","3","0.15","403","121620","0.9526824391869377"
"9","0.6","20","open-clean","40","0.9","100","3","0.15","403","121010","0.9396867710763079"
"10","0.6","20","open-clean","40","0.9","100","4","0.15","403","116240","0.9610129956681106"
"12","0.6","20","open-clean","40","0.9","100","4","0.15","403","115380","0.9530156614461847"
"11","0.6","20","open-clean","40","0.9","100","4","0.15","403","117220","0.9616794401866045"
"13","0.6","20","open-clean","40","0.9","100","5","0.15","403","109350","0.9680106631122959"
"14","0.6","20","open-clean","40","0.9","100","5","0.15","403","109680","0.9670109963345551"
"15","0.6","20","open-clean","40","0.9","100","5","0.15","403","110510","0.9693435521492836"
